PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.22.2020 10:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;1408.00;4084.92;18651.52;270.59;683.77;525.88;10.00;0.00
04.22.2020 10:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;23520.00;640.00;;1231.38;752.65;22.00;0.00
04.22.2020 10:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;512.00;;1888.00;707.47;29.00;0.00
04.22.2020 10:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;20825.60;;1039.58;966.07;7.00;0.00
04.22.2020 11:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;11432.00;1992.19;;100.20;56.65;8.00;0.00
04.22.2020 11:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;18908.00;187.57;;587.64;845.01;13.00;0.00
04.22.2020 11:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;26432.00;1029.04;;1920.00;78.37;14.00;0.00
04.22.2020 11:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;1350.00;;928.00;858.67;53.00;0.00
04.22.2020 12:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;34016.00;;1459.08;666.04;35.00;0.00
04.22.2020 12:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;56.00;;975.58;721.99;18.00;0.00
04.22.2020 12:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;4152.00;565.33;177.98;1663.33;872.71;34.00;0.00
04.22.2020 12:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;8610.67;2347.43;325.33;924.59;764.67;14.00;0.00
04.22.2020 13:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;18908.00;614.00;;976.00;355.47;35.00;0.00
04.22.2020 13:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;;;2578.00;;;737.73;21.00;0.00
