PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.23.2020 10:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;23392.00;1708.13;;1258.67;197.91;0;0;;0;0;97.01;;;;;0;0;0
04.23.2020 10:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;7664.00;39562.62;;664.42;979.92;0;0;100.00;1;1;100.00;;;;;0;0;0
04.23.2020 10:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;8080.00;680.80;;1122.67;606.85;0;0;;0;0;100.00;;;;;0;0;0
04.23.2020 10:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;10.00;10.00;;11918.00;12313.81;61.61;370.81;980.82;1219;1131;100.00;1;1;100.00;;;;;0;0;0
04.23.2020 11:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;20544.00;370.86;;1852.80;414.56;0;0;;0;0;100.00;;;;;0;0;0
04.23.2020 11:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;26432.00;10184.45;;1123.20;768.88;0;0;;0;0;100.00;;;;;0;0;0
04.23.2020 11:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;7980.44;861.71;;923.78;1029.61;0;0;;0;0;100.00;;;;;0;0;0
04.23.2020 11:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;21.00;19.00;;3088.00;2115.80;101.11;574.53;531.33;10253;9261;100.00;4;4;100.00;;;;;0;0;0
04.23.2020 12:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;11.00;8.00;;11008.00;5686.06;30.47;900.36;1021.94;5300;4377;100.00;1;1;100.00;;;;;0;0;0
04.23.2020 12:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;1468.44;5250.00;;1520.00;1117.70;0;0;;0;0;100.00;;;;;0;0;0
