PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 10:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;13.00;11.00;1408.00;4084.92;18651.52;270.59;683.77;525.88;1333;1148;100.00;4;4;100.00;;;;;0;0;0
04.22.2020 10:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;23520.00;640.00;;1231.38;752.65;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 10:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;;512.00;;1888.00;707.47;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 10:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;;20825.60;;1039.58;966.07;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;11432.00;1992.19;;100.20;56.65;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;18908.00;187.57;;587.64;845.01;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:30:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;26432.00;1029.04;;1920.00;78.37;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:45:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;;1350.00;;928.00;858.67;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 12:00:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;;34016.00;;1459.08;666.04;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 12:15:00;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;L2G-Anaintercontinentalbeppuresortandspa (id: 447089);447089;QI-14721_00001 (id: 1);1;0.00;0.00;;;56.00;;975.58;721.99;0;0;;0;0;100.00;;;;;0;0;0
