PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.15.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;421.44;7037.98;;13.47;45.42;6.00;0.00
04.15.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;5406.81;7247.42;;1920.00;1902.46;8.00;0.00
04.15.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;1071.07;4974.15;;25.57;622.28;7.00;0.00
04.15.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;3409.74;8894.61;;19.45;150.94;26.00;0.00
04.15.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;1054.84;2124.62;;26.43;162.94;5.00;0.00
04.15.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;6462.67;2077.19;;149.79;125.15;15.00;0.00
04.15.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;1743.27;4960.24;;18.86;134.97;4.00;0.00
04.15.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;37.58;2194.67;;29.94;141.25;6.00;0.00
04.15.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;533.94;21210.94;;20.04;325.47;24.00;0.00
04.15.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;13343.11;;;666.68;4.00;0.00
04.15.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;765.98;17080.33;86.13;27.86;137.34;32.00;0.00
04.15.2020 10:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 10:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;2014.99;1948.72;;21.44;60.71;10.00;0.00
04.15.2020 10:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 10:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;721.74;1831.83;;12.11;236.07;5.00;0.00
04.15.2020 11:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;2393.74;589.77;;36.56;36.55;6.00;0.00
04.15.2020 11:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;2105.33;21.00;0.00
04.15.2020 11:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;1277.29;1821.84;;26.68;54.81;6.00;0.00
04.15.2020 11:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;3.00;0.00
04.15.2020 11:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 11:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;661.52;3260.22;;10.10;22.66;10.00;0.00
04.15.2020 11:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;175.81;2851.70;;24.69;55.94;5.00;0.00
04.15.2020 11:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.15.2020 08:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;7440.00;2549.74;;190.21;125.57;4.00;0.00
04.15.2020 08:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;1486.40;;;215.69;4.00;0.00
