PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.14.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;4168.00;;;157.33;6.00;0.00
04.14.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;;1088.00;;;550.87;3.00;0.00
04.14.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;3952.80;4394.00;;148.16;97.82;7.00;0.00
04.14.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;2620.57;1557.23;;20.74;136.99;6.00;0.00
04.14.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;;2991.10;;;111.73;8.00;0.00
04.14.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;525.71;211.01;;10.22;19.50;7.00;0.00
04.14.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;3.00;0.00
04.14.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;1082.61;2363.41;;13.76;54.53;6.00;0.00
04.14.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;3194.00;8837.55;;26.01;128.37;169.00;0.00
04.14.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;58.00;0.00
04.14.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;;9119.99;;;252.46;47.00;0.00
04.14.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;71.00;0.00
04.14.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;;5863.05;;;173.14;17.00;0.00
04.14.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;10802.00;;;1161.14;7.00;0.00
04.14.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;;247.54;1141.30;;9.13;31.73;6.00;0.00
